"","speaker","consonant","vowel","following_phone","word","gender","Voicing","Manner","base_vowel","base_vowel_AvIU","base_vowel_IvU","speaker_mean_f0","f0","utterance_num_syllables","local_f0"
"2768","TU063","S","u","r","şura","female","voiceless","fricative","U",0.333333333333333,0.5,12.7525602667499,15.7723200977027,12,15.2825445842393
"2769","TU063","b","i","r","bir","female","voiced","plosive","I",0.333333333333333,-0.5,12.7525602667499,16.9348951360728,5,14.5942332205624
"2770","TU063","d","i","l","dilimiz","female","voiced","plosive","I",0.333333333333333,-0.5,12.7525602667499,14.0893297413793,30,12.7736002891071
"2771","TU063","s","i","j","siyasi","female","voiceless","fricative","I",0.333333333333333,-0.5,12.7525602667499,14.9284603459241,18,15.889606549927
"2772","TU063","b","i","n","1994","female","voiced","plosive","I",0.333333333333333,-0.5,12.7525602667499,13.8839955331505,17,13.6446253696763
"2773","TU063","p","i","r","pirinç","female","voiceless","plosive","I",0.333333333333333,-0.5,12.7525602667499,13.1332991432337,21,12.6960362293934
"2774","TU063","b","i","r","birçok","female","voiced","plosive","I",0.333333333333333,-0.5,12.7525602667499,16.6069842769307,12,12.7486612109277
"2775","TU063","S","u","r","şura","female","voiceless","fricative","U",0.333333333333333,0.5,12.7525602667499,18.7501069898159,11,12.826939255866
"2776","TU063","s","u","r","şuraya","female","voiceless","fricative","U",0.333333333333333,0.5,12.7525602667499,17.5954166531504,16,14.5888570339988
"2777","TU063","b","u","l","bulgaristan","female","voiced","plosive","U",0.333333333333333,0.5,12.7525602667499,13.4271696103562,35,NA
"2778","TU063","dZ","ab","t","çatışmalar","female","voiced","affricate","A",-0.666666666666667,0,12.7525602667499,14.5447969011331,20,16.390349370126
"2779","TU063","t","ab","r","tartışmaları","female","voiceless","plosive","A",-0.666666666666667,0,12.7525602667499,13.4565174172482,8,14.65284525999
"2780","TU063","k","ab","l","kalmaya","female","voiceless","plosive","A",-0.666666666666667,0,12.7525602667499,13.2112961454882,18,13.2328087603446
"2781","TU063","b","ab","k","bakanlar","female","voiced","plosive","A",-0.666666666666667,0,12.7525602667499,11.990463314995,30,15.9542879631092
"2782","TU063","z","ab","m","zam","female","voiced","fricative","A",-0.666666666666667,0,12.7525602667499,15.3833683275508,25,12.2639893490062
"2783","TU063","t","ab","t","tataristandan","female","voiceless","plosive","A",-0.666666666666667,0,12.7525602667499,15.4570739451739,19,14.7004677256163
"2784","TU063","v","ab","t","vatan","female","voiced","fricative","A",-0.666666666666667,0,12.7525602667499,12.601013945245,21,15.8191714345795
"2785","TU063","v","ab","t","vatanı","female","voiced","fricative","A",-0.666666666666667,0,12.7525602667499,13.6701520312748,23,16.7938670728694
"2786","TU063","p","ab","r","partisinin","female","voiceless","plosive","A",-0.666666666666667,0,12.7525602667499,15.8513295655293,21,17.1375883624898
"2787","TU063","b","ab","z","bazı","female","voiced","plosive","A",-0.666666666666667,0,12.7525602667499,15.4602736110674,19,15.4469031364929
"2788","TU063","b","ab","s","basın","female","voiced","plosive","A",-0.666666666666667,0,12.7525602667499,12.973231215986,22,16.9343219154684
"2789","TU063","g","ab","z","gazetecilerin","female","voiced","plosive","A",-0.666666666666667,0,12.7525602667499,18.4567352383033,17,16.3003912774123
"2790","TU063","k","ab","r","kararının","female","voiceless","plosive","A",-0.666666666666667,0,12.7525602667499,13.3569628511795,25,12.3763165056423
"2791","TU063","t","ab","j","tayan","female","voiceless","plosive","A",-0.666666666666667,0,12.7525602667499,12.6559084190969,5,14.6506502890663
"2792","TU063","p","ab","r","partinin","female","voiceless","plosive","A",-0.666666666666667,0,12.7525602667499,14.2240028524783,26,16.9062747476247
"2793","TU063","dZ","ab","ab","çağdaş","female","voiced","affricate","A",-0.666666666666667,0,12.7525602667499,13.6526399854625,32,14.3234228229463
"2794","TU063","t","ab","j","tayan","female","voiceless","plosive","A",-0.666666666666667,0,12.7525602667499,15.3525726825761,2,14.7648173743673
"2795","TU064","b","i","r","birlikte","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,10.3814079827803,6,8.97046343849379
"2796","TU064","b","i","r","birleşmiş","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,15.7507908549616,15,17.346764263361
"2797","TU064","b","i","r","bir","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,16.9334536747937,23,17.6255088082184
"2798","TU064","b","i","r","birleşmiş","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,11.2762681750637,3,15.9123550669687
"2799","TU064","b","i","r","birleşmiş","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,19.6179786493898,7,17.4669229238181
"2800","TU064","dZ","i","f","çiftçi","female","voiced","affricate","I",0.333333333333333,-0.5,12.9078853963422,22.6165065274531,2,14.157011703684
"2801","TU064","g","i","b","gibi","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,13.6935225155016,9,11.9814577701325
"2802","TU064","v","i","dZ","vicdanını","female","voiced","fricative","I",0.333333333333333,-0.5,12.9078853963422,12.9336363863317,10,12.7908249906022
"2803","TU064","b","i","r","birleşmiş","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,14.5834913798112,13,14.9055693505416
"2804","TU064","f","i","l","filistin","female","voiceless","fricative","I",0.333333333333333,-0.5,12.9078853963422,12.4059596335877,32,18.4875792627451
"2805","TU064","f","i","l","filistin","female","voiceless","fricative","I",0.333333333333333,-0.5,12.9078853963422,13.3366217104502,19,14.1345293290543
"2806","TU064","f","i","l","filistin","female","voiceless","fricative","I",0.333333333333333,-0.5,12.9078853963422,15.6709080760302,17,18.2845717782659
"2807","TU064","b","i","i","bir","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,22.709044165009,27,11.6005094811849
"2808","TU064","b","i","l","bildiride","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,10.7263042381429,4,9.8652751707735
"2809","TU064","z","i","r","zira","female","voiced","fricative","I",0.333333333333333,-0.5,12.9078853963422,22.6986433448886,27,15.6328264222089
